id,name,organization,title,doi,metadata_created,metadata_modified,license_title
19d70587-3260-43f8-8987-c388da17d4a0,rdr-doi-10-35097-1204,radar,Coccon column-averaged greenhouse gas abundances collected in the framework of moses scalex campaign 2019,10.35097/1204,2023-08-04T08:50:16.901293,2023-08-04T09:28:56.872850,CC BY 4.0 Attribution
47df74bb-2a26-4e37-ade0-80060735a8d7,rdr-doi-10-35097-1205,radar,Deutsches mobilitätspanel (mop) - statistiken zur alltagsmobilität sowie zu fahrleistung und kraftstoffverbrauch 2009 - 2018,10.35097/1205,2023-08-04T08:50:17.272037,2023-08-04T09:28:57.065667,CC BY 4.0 Attribution
ddebf894-1ff9-4e34-80cc-51ecb2184259,rdr-doi-10-35097-1206,radar,Characteristic sets of rdf graph samples,10.35097/1206,2023-08-04T08:50:17.405222,2023-08-04T09:28:57.133727,CC BY 4.0 Attribution
93773308-d688-4532-87e4-47f408411249,rdr-doi-10-35097-1207,radar,"Additional material for ""secondary ice production upon freezing of freely falling drizzle droplets"" - high speed video footage and sip event frequencies",10.35097/1207,2023-08-04T08:50:17.510266,2023-08-04T09:28:57.190551,CC BY-SA 4.0 Attribution-ShareAlike
44fb25f7-e3a9-42b7-a5da-8098bed2e425,rdr-doi-10-35097-1208,radar,Raw data to manuscript on tribologically induced oxidation,10.35097/1208,2023-08-04T08:50:17.612085,2023-08-04T09:28:57.247171,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
6967f37c-ec11-4535-a4db-c66c7705df60,rdr-doi-10-35097-1209,radar,"Data sets for the research article ""solid ammonium nitrate aerosols as efficient ice nucleating particles at cirrus temperatures"" by wagner et al. (2020) in the journal of geophysical research (atmospheres)",10.35097/1209,2023-08-04T08:50:17.152248,2023-08-04T09:28:57.007433,CC BY 4.0 Attribution
116ad4c1-7855-430f-bc15-19eb448ad3fb,rdr-doi-10-35097-1210,radar,Expbot - a dataset of 79 dialogs with an experimental customer service chatbot,10.35097/1210,2023-08-04T08:50:17.039877,2023-08-04T09:28:56.935473,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
d4b1a52c-e58c-4254-929a-6eab3a96ef8f,rdr-doi-10-35097-1211,radar,Aerial peruvian andes campaign (alpaca) dataset 2019,10.35097/1211,2023-08-04T08:50:20.315841,2023-08-04T09:28:58.562590,CC BY 4.0 Attribution
d8343bc6-c0b4-4011-98c8-3ae01e6d4381,rdr-doi-10-35097-1212,radar,Coupled simulation of flow-induced viscous and elastic anisotropy of short-fiber reinforced composites,10.35097/1212,2023-08-04T08:50:17.869396,2023-08-04T09:28:57.372913,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
cbae2511-c405-48c4-a2a4-12eac15aeb28,rdr-doi-10-35097-1213,radar,A data set of 104 software development projects – an investigation on process ambidexterity and project performance,10.35097/1213,2023-08-04T08:50:18.008762,2023-08-04T09:28:57.442294,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
43c67506-634f-4f30-9ca9-50b74141eaf1,rdr-doi-10-35097-1214,radar,Figures for rsc advances publication on rice paper carbon paper (10.1039/d0ra01447h),10.35097/1214,2023-08-04T08:50:18.224583,2023-08-04T09:28:57.553962,CC BY 4.0 Attribution
74680ebf-236a-4aa9-8d66-55373c8dd6c0,rdr-doi-10-35097-1215,radar,Quartz single crystal thermal diffusivity measurements by laser flash method: from -120 °c through the α-β phase transition to 800 °c,10.35097/1215,2023-08-04T08:50:18.344972,2023-08-04T09:28:57.622670,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
0e0cd39c-69e0-490a-9949-b06db33e7a57,rdr-doi-10-35097-1216,radar,Strange metal dynamics in sriro3,10.35097/1216,2023-08-04T08:50:18.473792,2023-08-04T09:28:57.690239,CC BY 4.0 Attribution
96fb9923-e96b-4e8a-9ed5-346f6906f698,rdr-doi-10-35097-1217,radar,"Icon model simulations for publication ""the role of tropical, midlatitude and polar cloud-radiative changes for the midlatitude circulation response to global warming""",10.35097/1217,2023-08-04T08:50:20.543284,2023-08-04T09:28:58.719286,CC BY 4.0 Attribution
e4bd247d-01bf-4c34-b2f1-4867431743b3,rdr-doi-10-35097-1218,radar,Data set collection for flow delegation,10.35097/1218,2023-08-04T08:50:18.851039,2023-08-04T09:28:57.865454,Other
4c6b959b-7dc9-4135-93f3-a724faa62bd7,rdr-doi-10-35097-1219,radar,"Analysis of publicly available anti-phishing webpages: contradicting information, lack of concrete advice and very narrow attack vector (online material)",10.35097/1219,2023-08-04T08:50:18.723045,2023-08-04T09:28:57.807447,CC BY-NC-ND 4.0 Attribution-NonCommercial-NoDerivs
ec46524b-d8c7-48cf-8d8f-ba2be5bb9a76,rdr-doi-10-35097-1220,radar,Datasets to: the seasonal cycle of ice-nucleating particles linked to the abundance of biogenic aerosol in boreal forests,10.35097/1220,2023-08-04T08:50:18.996445,2023-08-04T09:28:57.933882,CC BY 4.0 Attribution
5508a373-9726-4bef-b9c5-97911ab93377,rdr-doi-10-35097-1221,radar,Raw data to manuscript by lehmann et al on the tribological properties of copper oxides,10.35097/1221,2023-08-04T08:50:19.160917,2023-08-04T09:28:57.989612,CC BY-NC-ND 4.0 Attribution-NonCommercial-NoDerivs
a3cd307e-6c8b-4da3-81c3-7cb62286fa4c,rdr-doi-10-35097-1222,radar,Magnetic fatigue : effect of seismic-related loading on magnetic and structural behavior of magnetite,10.35097/1222,2023-08-04T08:50:19.267351,2023-08-04T09:28:58.046148,CC BY-SA 4.0 Attribution-ShareAlike
eef22ed8-377e-4eae-9838-cdea84504fe3,rdr-doi-10-35097-1223,radar,Hourly data of evapotranspiration of graswang and fendt for 2013 and 2014,10.35097/1223,2023-08-04T08:50:19.632901,2023-08-04T09:28:58.256169,CC BY 4.0 Attribution
8a92c79d-74cc-4837-bcdc-48c39ec16d12,rdr-doi-10-35097-1224,radar,Algorithmus zur objektiven analyse des einflusses von gewindeparametern von holzschrauben auf die rissbildung - algorithm for an objective analysis of the influence of thread parameters of wood screws on crack formation,10.35097/1224,2023-08-04T08:50:19.505342,2023-08-04T09:28:58.179242,CC BY-NC 4.0 Attribution-NonCommercial
860ab362-5b48-4907-8ccf-103a7db08063,rdr-doi-10-35097-1225,radar,Data sets to research article by möhler et al. “the portable ice nucleation experiment pine: a new online instrument for laboratory studies and automated long-term ﬁeld observations of ice-nucleating particles”,10.35097/1225,2023-08-04T08:50:19.382556,2023-08-04T09:28:58.114022,CC BY-SA 4.0 Attribution-ShareAlike
63007423-32d3-4687-bac9-6cf1e11f5f70,rdr-doi-10-35097-1226,radar,Extended probabilistic climatology (epc) as a reference forecast for precipitation in the tropics,10.35097/1226,2023-08-04T08:50:20.152966,2023-08-04T09:28:58.503288,CC BY-SA 4.0 Attribution-ShareAlike
679f0d9e-21c9-43d1-8932-fa1752893164,rdr-doi-10-35097-1227,radar,Dataset ice nucleating activity of arctic sea surface microlayer samples and marine algal cultures,10.35097/1227,2023-08-04T08:50:19.986076,2023-08-04T09:28:58.433253,CC BY-SA 4.0 Attribution-ShareAlike
70e005df-b9d8-49d7-8d9b-9a94f7333d16,rdr-doi-10-35097-1228,radar,"Implementations of algorithms from the thesis ""timing sensitive dependency analysis and its application to software security""",10.35097/1228,2023-08-04T08:50:48.346227,2023-08-04T09:31:23.719857,CC BY-NC-ND 4.0 Attribution-NonCommercial-NoDerivs
f45e5b47-933f-4999-b3ac-66d6a78b2151,rdr-doi-10-35097-1229,radar,Time series of the seasonal location index (sli) and rainfall cluster index (rci) for the time period 1981–2018,10.35097/1229,2023-08-04T08:50:19.742706,2023-08-04T09:28:58.320712,CC BY-NC-ND 4.0 Attribution-NonCommercial-NoDerivs
d96ead0d-70a6-49da-9e0c-3338be23d0bf,rdr-doi-10-35097-1230,radar,Research data for publication 'electrodeposition of chitosan enables synthesis of copper/carbon composites for h2o2 sensing',10.35097/1230,2023-08-04T08:50:19.871414,2023-08-04T09:28:58.375407,CC BY-NC 4.0 Attribution-NonCommercial
58f5d821-2621-4eca-89dc-6edcd4c56dee,rdr-doi-10-35097-1231,radar,Full-field xanes tomography data of a cu-ssz-13 washcoated monolith: scr @ 200°c dataset,10.35097/1231,2023-08-04T08:50:20.660472,2023-08-04T09:28:58.789203,CC BY 4.0 Attribution
9fb9daa6-3e1a-4474-87da-393420446e87,rdr-doi-10-35097-1232,radar,Full-field xanes tomography data of a cu-ssz-13 washcoated monolith: scr @ 300°c dataset,10.35097/1232,2023-08-04T08:50:20.908978,2023-08-04T09:28:58.927323,CC BY 4.0 Attribution
e2d5b58c-70d3-4e98-8add-0aed1a9ecc4c,rdr-doi-10-35097-1233,radar,Full-field xanes tomography data of a cu-ssz-13 washcoated monolith: scr @ 350°c dataset,10.35097/1233,2023-08-04T08:50:22.036328,2023-08-04T09:28:59.473651,CC BY 4.0 Attribution
acb44c37-7bba-47ea-9235-40649d030f12,rdr-doi-10-35097-1234,radar,Full-field xanes tomography data of a cu-ssz-13 washcoated monolith: scr @ 400°c dataset,10.35097/1234,2023-08-04T08:50:22.383296,2023-08-04T09:28:59.655612,CC BY 4.0 Attribution
5d3ed651-c00c-4963-af13-eb0236b250c0,rdr-doi-10-35097-1235,radar,Full-field xanes tomography data of a cu-ssz-13 washcoated monolith: nh3 @ 200°c dataset,10.35097/1235,2023-08-04T08:50:24.591321,2023-08-04T09:29:00.780148,CC BY 4.0 Attribution
f53b887a-6198-4012-98a1-234590e02d3d,rdr-doi-10-35097-1236,radar,Full-field xanes tomography data of a cu-ssz-13 washcoated monolith: no + o2 @ 200°c dataset,10.35097/1236,2023-08-04T08:50:27.431040,2023-08-04T09:29:02.116117,CC BY 4.0 Attribution
95b0443e-5a3b-4d92-8cde-4752b433ea77,rdr-doi-10-35097-1237,radar,Coupled simulation of flow-induced viscous and elastic anisotropy of short-fiber reinforced composites (version 2),10.35097/1237,2023-08-04T08:50:20.793145,2023-08-04T09:28:58.857543,CC BY-NC-SA 4.0 Attribution-NonCommercial-ShareAlike
fb26e388-63b3-4a94-9b48-55de1d4976b0,rdr-doi-10-35097-1238,radar,Reproduction package for evaluating the vitruvius approach,10.35097/1238,2023-08-04T08:50:21.040439,2023-08-04T09:28:58.983070,CC BY 4.0 Attribution
cabd4ed4-a694-4ec9-bcdc-9dfc4f4705a6,rdr-doi-10-35097-1239,radar,"Icon related information for publication ""increasing resolution and resolving convection improves the simulation of cloud‐radiative effects over the north atlantic"" by senf et al., jgr-atmospheres, 2020",10.35097/1239,2023-08-04T08:50:21.928275,2023-08-04T09:28:59.414704,CC BY 4.0 Attribution
ff2be837-ba31-4846-bcae-7733d339d3d5,rdr-doi-10-35097-1240,radar,Methodical support for the investigation of system behaviour with analysis techniques - overcoming the non-transparency in embodiment design,10.35097/1240,2023-08-04T08:50:21.824569,2023-08-04T09:28:59.362522,CC BY-SA 4.0 Attribution-ShareAlike
f3d2d826-a452-4aba-9035-6d7ccc758a03,rdr-doi-10-35097-1241,radar,"The german electricity system in 2030: data on consumption, generation, and the grid",10.35097/1241,2023-08-04T08:50:21.611080,2023-08-04T09:28:59.247931,CC BY 4.0 Attribution
169c62ed-f848-4d06-9901-d6ef078b6659,rdr-doi-10-35097-1242,radar,Topologically optimized magnetic lens for magnetic resonance applications,10.35097/1242,2023-08-04T08:50:21.716166,2023-08-04T09:28:59.307928,CC BY-NC 4.0 Attribution-NonCommercial
5d743216-de8e-4d87-87c5-132a40995fa3,rdr-doi-10-35097-1243,radar,"Ausführliche qualitative aussagen der befragten zur dissertation ""akzeptanz und versicherbarkeit autonom fahrender automobile - ein weg in eine unfallfreie zukunft"" von arne holz",10.35097/1243,2023-08-04T08:50:21.315758,2023-08-04T09:28:59.123808,CC BY-NC-ND 4.0 Attribution-NonCommercial-NoDerivs
